

lambda(m), Y
1.565e-06, 0.962099
1.5649e-06, 0.962375
1.5648e-06, 0.962664
1.56469e-06, 0.962979
1.56459e-06, 0.963334
1.56449e-06, 0.96374
1.56439e-06, 0.964211
1.56428e-06, 0.964762
1.56418e-06, 0.965408
1.56408e-06, 0.966167
1.56398e-06, 0.967059
1.56388e-06, 0.968102
1.56377e-06, 0.969317
1.56367e-06, 0.970709
1.56357e-06, 0.972238
1.56347e-06, 0.973729
1.56336e-06, 0.974586
1.56326e-06, 0.97303
1.56316e-06, 0.96491
1.56306e-06, 0.947268
1.56296e-06, 0.931492
1.56285e-06, 0.928311
1.56275e-06, 0.931774
1.56265e-06, 0.936239
1.56255e-06, 0.940056
1.56245e-06, 0.943013
1.56234e-06, 0.945191
1.56224e-06, 0.946659
1.56214e-06, 0.947373
1.56204e-06, 0.94705
1.56194e-06, 0.944694
1.56184e-06, 0.936105
1.56173e-06, 0.886522
1.56163e-06, 0.803006
1.56153e-06, 0.94907
1.56143e-06, 0.958653
1.56133e-06, 0.960605
1.56122e-06, 0.961294
1.56112e-06, 0.961647
1.56102e-06, 0.961884
1.56092e-06, 0.962076
1.56082e-06, 0.962255
1.56072e-06, 0.962438
1.56061e-06, 0.962637
1.56051e-06, 0.962863
1.56041e-06, 0.963127
1.56031e-06, 0.96344
1.56021e-06, 0.963813
1.56011e-06, 0.964258
1.56e-06, 0.964787
1.5599e-06, 0.965414
1.5598e-06, 0.966154
1.5597e-06, 0.967025
1.5596e-06, 0.968046
1.5595e-06, 0.969233
1.55939e-06, 0.970598
1.55929e-06, 0.972118
1.55919e-06, 0.973671
1.55909e-06, 0.974826
1.55899e-06, 0.974243
1.55889e-06, 0.968364
1.55878e-06, 0.952338
1.55868e-06, 0.933222
1.55858e-06, 0.926731
1.55848e-06, 0.929663
1.55838e-06, 0.934538
1.55828e-06, 0.938823
1.55818e-06, 0.942145
1.55807e-06, 0.944606
1.55797e-06, 0.946334
1.55787e-06, 0.94738
1.55777e-06, 0.947664
1.55767e-06, 0.946846
1.55757e-06, 0.943811
1.55747e-06, 0.933963
1.55737e-06, 0.879582
1.55726e-06, 0.826358
1.55716e-06, 0.954444
1.55706e-06, 0.961462
1.55696e-06, 0.962482
1.55686e-06, 0.96267
1.55676e-06, 0.962703
1.55666e-06, 0.962718
1.55656e-06, 0.962753
1.55645e-06, 0.96282
1.55635e-06, 0.962927
1.55625e-06, 0.963081
1.55615e-06, 0.963288
1.55605e-06, 0.963557
1.55595e-06, 0.963896
1.55585e-06, 0.964314
1.55575e-06, 0.964822
1.55565e-06, 0.965432
1.55554e-06, 0.966156
1.55544e-06, 0.967009
1.55534e-06, 0.968008
1.55524e-06, 0.969169
1.55514e-06, 0.970504
1.55504e-06, 0.972003
1.55494e-06, 0.97358
1.55484e-06, 0.974925
1.55474e-06, 0.975034
1.55463e-06, 0.971016
1.55453e-06, 0.957368
1.55443e-06, 0.936158
1.55433e-06, 0.925557
1.55423e-06, 0.927445
1.55413e-06, 0.932681
