

lambda(m), Y
1.7e-06, 0.983635
1.69878e-06, 0.976274
1.69757e-06, 0.88137
1.69635e-06, 0.979569
1.69514e-06, 0.985743
1.69393e-06, 0.973113
1.69272e-06, 0.9668
1.69151e-06, 0.984173
1.69031e-06, 0.977507
1.68911e-06, 0.861662
1.6879e-06, 0.9807
1.6867e-06, 0.986194
1.6855e-06, 0.966718
1.68431e-06, 0.970956
1.68311e-06, 0.984789
1.68192e-06, 0.978739
1.68073e-06, 0.892237
1.67954e-06, 0.981765
1.67835e-06, 0.986655
1.67716e-06, 0.953927
1.67598e-06, 0.974118
1.67479e-06, 0.985329
1.67361e-06, 0.979894
1.67243e-06, 0.92543
1.67125e-06, 0.982664
1.67008e-06, 0.98709
1.6689e-06, 0.925851
1.66773e-06, 0.97658
1.66656e-06, 0.985894
1.66539e-06, 0.981111
1.66422e-06, 0.946086
1.66305e-06, 0.983574
1.66189e-06, 0.987621
1.66072e-06, 0.860506
1.65956e-06, 0.978631
1.6584e-06, 0.986484
1.65724e-06, 0.982324
1.65609e-06, 0.958347
1.65493e-06, 0.984379
1.65378e-06, 0.988082
1.65262e-06, 0.748754
1.65147e-06, 0.980258
1.65032e-06, 0.986991
1.64918e-06, 0.983564
1.64803e-06, 0.965949
1.64689e-06, 0.985123
1.64574e-06, 0.988576
1.6446e-06, 0.741261
1.64346e-06, 0.981691
1.64233e-06, 0.98757
1.64119e-06, 0.984985
1.64006e-06, 0.97108
1.63892e-06, 0.985879
1.63779e-06, 0.989055
1.63666e-06, 0.826837
1.63553e-06, 0.982915
1.63441e-06, 0.988068
1.63328e-06, 0.986349
1.63216e-06, 0.974653
1.63103e-06, 0.9865
1.62991e-06, 0.989376
1.62879e-06, 0.88275
1.62768e-06, 0.983942
1.62656e-06, 0.988536
1.62545e-06, 0.985506
1.62433e-06, 0.977323
1.62322e-06, 0.987146
1.62211e-06, 0.989555
1.621e-06, 0.911382
1.6199e-06, 0.984917
1.61879e-06, 0.988998
1.61769e-06, 0.98065
1.61658e-06, 0.9794
1.61548e-06, 0.9877
1.61438e-06, 0.988979
1.61328e-06, 0.926385
1.61219e-06, 0.985687
1.61109e-06, 0.98928
1.61e-06, 0.982485
1.60891e-06, 0.980971
1.60782e-06, 0.988163
1.60673e-06, 0.985981
1.60564e-06, 0.934278
1.60455e-06, 0.986411
1.60347e-06, 0.989492
1.60239e-06, 0.984351
1.60131e-06, 0.982312
1.60022e-06, 0.988622
1.59915e-06, 0.969466
1.59807e-06, 0.938123
1.59699e-06, 0.987019
1.59592e-06, 0.989317
1.59485e-06, 0.985614
1.59377e-06, 0.983311
1.5927e-06, 0.988876
1.59163e-06, 0.891901
1.59057e-06, 0.939103
1.5895e-06, 0.987473
1.58844e-06, 0.988361
1.58737e-06, 0.98658
1.58631e-06, 0.984141
1.58525e-06, 0.989079
1.58419e-06, 0.950171
1.58314e-06, 0.938026
1.58208e-06, 0.987909
1.58103e-06, 0.984938
1.57997e-06, 0.987376
1.57892e-06, 0.984802
1.57787e-06, 0.989017
1.57682e-06, 0.974795
1.57578e-06, 0.935135
1.57473e-06, 0.98811
1.57368e-06, 0.96862
1.57264e-06, 0.987955
1.5716e-06, 0.985209
1.57056e-06, 0.988542
1.56952e-06, 0.982095
1.56848e-06, 0.930631
1.56744e-06, 0.988258
1.56641e-06, 0.844194
1.56538e-06, 0.988515
1.56434e-06, 0.985589
1.56331e-06, 0.987262
1.56228e-06, 0.985284
1.56125e-06, 0.925295
1.56023e-06, 0.988201
1.5592e-06, 0.932299
1.55818e-06, 0.988861
1.55716e-06, 0.985698
1.55613e-06, 0.983045
1.55511e-06, 0.986853
1.55409e-06, 0.920039
1.55308e-06, 0.987811
1.55206e-06, 0.972913
1.55105e-06, 0.989174
1.55003e-06, 0.985706
1.54902e-06, 0.964186
1.54801e-06, 0.987871
1.547e-06, 0.916749
1.54599e-06, 0.987077
1.54498e-06, 0.981997
1.54398e-06, 0.989429
1.54297e-06, 0.985548
1.54197e-06, 0.778163
1.54097e-06, 0.988422
1.53997e-06, 0.917535
1.53897e-06, 0.985118
1.53797e-06, 0.985172
1.53698e-06, 0.98942
1.53598e-06, 0.985093
1.53499e-06, 0.93647
1.53399e-06, 0.988715
1.533e-06, 0.923877
1.53201e-06, 0.979567
1.53102e-06, 0.986751
1.53004e-06, 0.989562
1.52905e-06, 0.984463
1.52807e-06, 0.974856
1.52708e-06, 0.98889
1.5261e-06, 0.934219
1.52512e-06, 0.950659
1.52414e-06, 0.987507
1.52316e-06, 0.989488
1.52218e-06, 0.98298
1.52121e-06, 0.982461
1.52023e-06, 0.988841
1.51926e-06, 0.945472
1.51828e-06, 0.668803
1.51731e-06, 0.987749
1.51634e-06, 0.989277
1.51537e-06, 0.97993
1.51441e-06, 0.985207
1.51344e-06, 0.988869
1.51248e-06, 0.956213
1.51151e-06, 0.949093
1.51055e-06, 0.987965
1.50959e-06, 0.98912
1.50863e-06, 0.970682
1.50767e-06, 0.986007
1.50671e-06, 0.988461
1.50576e-06, 0.964857
1.5048e-06, 0.976126
1.50385e-06, 0.987786
1.50289e-06, 0.988761
1.50194e-06, 0.910815
1.50099e-06, 0.98646
1.50004e-06, 0.988344
1.49909e-06, 0.971545
1.49815e-06, 0.981573
