

lambda(m), Y
1.4972e-06, 0.987691
1.49626e-06, 0.988448
1.49531e-06, 0.669607
1.49437e-06, 0.986723
1.49343e-06, 0.988076
1.49249e-06, 0.975825
1.49155e-06, 0.983375
1.49062e-06, 0.987203
1.48968e-06, 0.987431
1.48874e-06, 0.939751
1.48781e-06, 0.986446
1.48688e-06, 0.98748
1.48595e-06, 0.972861
1.48502e-06, 0.984146
1.48409e-06, 0.987073
1.48316e-06, 0.986903
1.48223e-06, 0.965706
1.48131e-06, 0.986497
1.48038e-06, 0.987242
1.47946e-06, 0.979737
1.47854e-06, 0.984648
1.47762e-06, 0.986827
1.4767e-06, 0.985348
1.47578e-06, 0.971929
1.47486e-06, 0.985801
1.47394e-06, 0.986053
1.47303e-06, 0.985171
1.47211e-06, 0.98386
1.4712e-06, 0.985664
1.47029e-06, 0.979789
1.46938e-06, 0.974355
1.46847e-06, 0.98596
1.46756e-06, 0.986286
1.46665e-06, 0.985868
1.46575e-06, 0.98435
1.46484e-06, 0.986242
1.46394e-06, 0.953157
1.46303e-06, 0.974597
1.46213e-06, 0.985071
1.46123e-06, 0.982977
1.46033e-06, 0.988223
1.45943e-06, 0.983746
1.45854e-06, 0.98414
1.45764e-06, 0.969647
1.45675e-06, 0.974851
1.45585e-06, 0.984377
1.45496e-06, 0.981324
1.45407e-06, 0.986413
1.45318e-06, 0.983072
1.45229e-06, 0.984828
1.4514e-06, 0.982906
1.45051e-06, 0.973699
1.44962e-06, 0.98465
1.44874e-06, 0.973643
1.44785e-06, 0.988234
1.44697e-06, 0.983591
1.44609e-06, 0.983113
1.44521e-06, 0.9906
1.44433e-06, 0.974311
1.44345e-06, 0.983346
1.44257e-06, 0.571917
1.44169e-06, 0.988821
1.44082e-06, 0.981972
1.43994e-06, 0.97766
1.43907e-06, 0.988117
1.4382e-06, 0.971569
1.43733e-06, 0.981028
1.43646e-06, 0.978457
1.43559e-06, 0.985553
1.43472e-06, 0.980778
1.43385e-06, 0.978508
1.43298e-06, 0.984786
1.43212e-06, 0.970778
1.43126e-06, 0.983603
1.43039e-06, 0.982238
1.42953e-06, 0.988397
1.42867e-06, 0.983081
1.42781e-06, 0.935498
1.42695e-06, 0.988405
1.42609e-06, 0.971211
1.42524e-06, 0.980718
1.42438e-06, 0.989468
1.42352e-06, 0.988812
1.42267e-06, 0.980213
1.42182e-06, 0.972351
1.42097e-06, 0.987779
1.42012e-06, 0.968011
1.41927e-06, 0.969326
1.41842e-06, 0.987943
1.41757e-06, 0.985633
1.41672e-06, 0.9763
1.41588e-06, 0.988705
1.41503e-06, 0.984646
1.41419e-06, 0.964614
1.41335e-06, 0.957
1.4125e-06, 0.983509
1.41166e-06, 0.985089
1.41082e-06, 0.977149
1.40999e-06, 0.980802
1.40915e-06, 0.983708
1.40831e-06, 0.962841
1.40748e-06, 0.5057
1.40664e-06, 0.983347
1.40581e-06, 0.98723
1.40498e-06, 0.979433
1.40414e-06, 0.983552
1.40331e-06, 0.986447
1.40248e-06, 0.964176
1.40165e-06, 0.978553
1.40083e-06, 0.986764
1.4e-06, 0.987359


