

lambda(m), Y
1.7e-06, 0.860059
1.69878e-06, 0.892003
1.69757e-06, 0.926315
1.69635e-06, 0.938426
1.69514e-06, 0.940163
1.69393e-06, 0.899113
1.69272e-06, 0.955999
1.69151e-06, 0.8562
1.69031e-06, 0.896283
1.68911e-06, 0.928631
1.6879e-06, 0.939264
1.6867e-06, 0.940674
1.6855e-06, 0.892414
1.68431e-06, 0.957515
1.68311e-06, 0.852192
1.68192e-06, 0.901342
1.68073e-06, 0.930318
1.67954e-06, 0.940333
1.67835e-06, 0.941462
1.67716e-06, 0.884463
1.67598e-06, 0.959311
1.67479e-06, 0.848473
1.67361e-06, 0.906045
1.67243e-06, 0.932475
1.67125e-06, 0.941332
1.67008e-06, 0.941716
1.6689e-06, 0.876324
1.66773e-06, 0.960934
1.66656e-06, 0.845508
1.66539e-06, 0.911322
1.66422e-06, 0.93436
1.66305e-06, 0.94196
1.66189e-06, 0.942466
1.66072e-06, 0.867478
1.65956e-06, 0.96231
1.6584e-06, 0.845481
1.65724e-06, 0.916014
1.65609e-06, 0.936187
1.65493e-06, 0.942979
1.65378e-06, 0.942525
1.65262e-06, 0.858921
1.65147e-06, 0.964021
1.65032e-06, 0.848671
1.64918e-06, 0.920655
1.64803e-06, 0.938241
1.64689e-06, 0.943392
1.64574e-06, 0.942739
1.6446e-06, 0.851032
1.64346e-06, 0.965081
1.64233e-06, 0.856625
1.64119e-06, 0.924962
1.64006e-06, 0.939768
1.63892e-06, 0.94428
1.63779e-06, 0.942491
1.63666e-06, 0.844434
1.63553e-06, 0.966443
1.63441e-06, 0.868089
1.63328e-06, 0.928617
1.63216e-06, 0.941701
1.63103e-06, 0.944817
1.62991e-06, 0.941814
1.62879e-06, 0.840106
1.62768e-06, 0.967101
1.62656e-06, 0.881629
1.62545e-06, 0.932299
1.62433e-06, 0.942981
1.62322e-06, 0.945525
1.62211e-06, 0.941095
1.621e-06, 0.838182
1.6199e-06, 0.967625
1.61879e-06, 0.895641
1.61769e-06, 0.935127
1.61658e-06, 0.944385
1.61548e-06, 0.946345
1.61438e-06, 0.939641
1.61328e-06, 0.839247
1.61219e-06, 0.967902
1.61109e-06, 0.908095
1.61e-06, 0.93817
1.60891e-06, 0.945369
1.60782e-06, 0.946805
1.60673e-06, 0.938565
1.60564e-06, 0.842882
1.60455e-06, 0.9677
1.60347e-06, 0.919097
1.60239e-06, 0.940655
1.60131e-06, 0.946063
1.60022e-06, 0.947531
1.59915e-06, 0.936966
1.59807e-06, 0.848342
1.59699e-06, 0.967904
1.59592e-06, 0.9275
1.59485e-06, 0.943098
1.59377e-06, 0.94692
1.5927e-06, 0.947421
1.59163e-06, 0.935683
1.59057e-06, 0.854769
1.5895e-06, 0.967987
1.58844e-06, 0.934425
1.58737e-06, 0.945306
1.58631e-06, 0.947321
1.58525e-06, 0.947442
1.58419e-06, 0.933879
1.58314e-06, 0.860408
1.58208e-06, 0.969011
1.58103e-06, 0.939624
1.57997e-06, 0.946866
1.57892e-06, 0.948323
1.57787e-06, 0.946775
1.57682e-06, 0.931155
1.57578e-06, 0.865385
1.57473e-06, 0.969655
1.57368e-06, 0.943775
1.57264e-06, 0.948366
1.5716e-06, 0.948798
1.57056e-06, 0.946314
1.56952e-06, 0.927068
1.56848e-06, 0.869413
1.56744e-06, 0.970102
1.56641e-06, 0.947573
1.56538e-06, 0.948921
1.56434e-06, 0.949428
1.56331e-06, 0.94613
1.56228e-06, 0.920778
1.56125e-06, 0.873852
1.56023e-06, 0.97017
1.5592e-06, 0.950404
1.55818e-06, 0.950021
1.55716e-06, 0.949271
1.55613e-06, 0.945776
1.55511e-06, 0.913806
1.55409e-06, 0.878146
1.55308e-06, 0.970085
1.55206e-06, 0.95291
1.55105e-06, 0.950804
1.55003e-06, 0.948932
1.54902e-06, 0.945229
1.54801e-06, 0.905017
1.547e-06, 0.880358
1.54599e-06, 0.971155
1.54498e-06, 0.95393
1.54398e-06, 0.951697
1.54297e-06, 0.94916
1.54197e-06, 0.943315
1.54097e-06, 0.892442
1.53997e-06, 0.879264
1.53897e-06, 0.971599
1.53797e-06, 0.955574
1.53698e-06, 0.951732
1.53598e-06, 0.949079
1.53499e-06, 0.942528
1.53399e-06, 0.869793
1.533e-06, 0.876094
1.53201e-06, 0.971392
1.53102e-06, 0.957054
1.53004e-06, 0.951723
1.52905e-06, 0.948696
1.52807e-06, 0.941654
1.52708e-06, 0.835399
1.5261e-06, 0.873554
1.52512e-06, 0.970756
1.52414e-06, 0.957732
1.52316e-06, 0.952759
1.52218e-06, 0.947584
1.52121e-06, 0.93961
1.52023e-06, 0.780047
1.51926e-06, 0.867402
1.51828e-06, 0.972391
1.51731e-06, 0.958005
1.51634e-06, 0.952232
1.51537e-06, 0.948243
1.51441e-06, 0.937059
1.51344e-06, 0.68471
1.51248e-06, 0.859248
1.51151e-06, 0.972524
1.51055e-06, 0.959054
1.50959e-06, 0.952326
1.50863e-06, 0.946869
1.50767e-06, 0.935936
1.50671e-06, 0.590238
1.50576e-06, 0.851298
1.5048e-06, 0.972442
1.50385e-06, 0.959502
1.50289e-06, 0.952461
