

lambda(m), Y
1.565e-06, 0.997505
1.56472e-06, 0.991825
1.56444e-06, 0.994798
1.56416e-06, 0.980096
1.56388e-06, 0.974066
1.5636e-06, 0.939054
1.56332e-06, 0.954966
1.56304e-06, 0.963004
1.56276e-06, 0.978375
1.56248e-06, 0.980884
1.5622e-06, 0.987027
1.56192e-06, 0.986475
1.56164e-06, 0.989902
1.56136e-06, 0.987969
1.56108e-06, 0.990069
1.5608e-06, 0.986883
1.56052e-06, 0.987554
1.56024e-06, 0.982686
1.55997e-06, 0.982103
1.55969e-06, 0.978286
1.55941e-06, 0.982763
1.55913e-06, 0.984408
1.55885e-06, 0.991374
1.55857e-06, 0.99091
1.55829e-06, 0.996257
1.55802e-06, 0.993107
1.55774e-06, 0.9979
1.55746e-06, 0.991793
1.55718e-06, 0.995959
1.5569e-06, 0.981612
1.55663e-06, 0.978364
1.55635e-06, 0.94465
1.55607e-06, 0.955907
1.55579e-06, 0.965405
1.55552e-06, 0.978137
1.55524e-06, 0.98255
1.55496e-06, 0.986842
1.55469e-06, 0.987668
1.55441e-06, 0.98972
1.55413e-06, 0.988827
1.55386e-06, 0.989802
1.55358e-06, 0.987367
1.5533e-06, 0.986967
1.55303e-06, 0.982522
1.55275e-06, 0.981052
1.55247e-06, 0.978114
1.5522e-06, 0.982835
1.55192e-06, 0.985034
1.55165e-06, 0.991666
1.55137e-06, 0.991177
1.55109e-06, 0.996322
1.55082e-06, 0.993161
1.55054e-06, 0.998021
1.55027e-06, 0.99198
1.54999e-06, 0.996633
1.54972e-06, 0.983228
1.54944e-06, 0.981582
1.54917e-06, 0.950475
1.54889e-06, 0.956553
1.54862e-06, 0.968011
1.54834e-06, 0.97772
1.54807e-06, 0.984282
1.54779e-06, 0.986526
1.54752e-06, 0.988895
1.54724e-06, 0.989403
1.54697e-06, 0.989706
1.5467e-06, 0.98937
1.54642e-06, 0.987835
1.54615e-06, 0.986141
1.54587e-06, 0.982273
1.5456e-06, 0.97983
1.54533e-06, 0.978175
1.54505e-06, 0.983035
1.54478e-06, 0.985879
1.54451e-06, 0.991851
1.54423e-06, 0.99161
1.54396e-06, 0.996204
1.54369e-06, 0.99341
1.54341e-06, 0.997877
1.54314e-06, 0.992391
1.54287e-06, 0.99685
1.5426e-06, 0.984975
1.54232e-06, 0.983819
1.54205e-06, 0.956417
1.54178e-06, 0.956991
1.54151e-06, 0.970702
1.54123e-06, 0.977221
1.54096e-06, 0.985977
1.54069e-06, 0.986157
1.54042e-06, 0.990077
1.54015e-06, 0.989012
1.53987e-06, 0.990536
1.5396e-06, 0.98882
1.53933e-06, 0.988217
1.53906e-06, 0.985107
1.53879e-06, 0.98188
1.53852e-06, 0.978547
1.53825e-06, 0.978513
1.53798e-06, 0.983371
1.5377e-06, 0.986876
1.53743e-06, 0.991919
1.53716e-06, 0.992166
1.53689e-06, 0.995912
1.53662e-06, 0.993818
1.53635e-06, 0.997489
1.53608e-06, 0.992996
1.53581e-06, 0.996663
1.53554e-06, 0.986838
1.53527e-06, 0.985202
1.535e-06, 0.962332


