

lambda(m), Y
1.565e-06, 0.99333
1.56472e-06, 0.995587
1.56444e-06, 0.99453
1.56416e-06, 0.987097
1.56388e-06, 0.981571
1.5636e-06, 0.946571
1.56332e-06, 0.956309
1.56304e-06, 0.963665
1.56276e-06, 0.981302
1.56248e-06, 0.98051
1.5622e-06, 0.98777
1.56192e-06, 0.987304
1.56164e-06, 0.988064
1.56136e-06, 0.989892
1.56108e-06, 0.986614
1.5608e-06, 0.987944
1.56052e-06, 0.983189
1.56024e-06, 0.980258
1.55997e-06, 0.976327
1.55969e-06, 0.97324
1.55941e-06, 0.978286
1.55913e-06, 0.981576
1.55885e-06, 0.987248
1.55857e-06, 0.990784
1.55829e-06, 0.991214
1.55802e-06, 0.995735
1.55774e-06, 0.992882
1.55746e-06, 0.996438
1.55718e-06, 0.993689
1.5569e-06, 0.989413
1.55663e-06, 0.983211
1.55635e-06, 0.953047
1.55607e-06, 0.956759
1.55579e-06, 0.965441
1.55552e-06, 0.981762
1.55524e-06, 0.980968
1.55496e-06, 0.988908
1.55469e-06, 0.987109
1.55441e-06, 0.98916
1.55413e-06, 0.989779
1.55386e-06, 0.987036
1.55358e-06, 0.988093
1.5533e-06, 0.982574
1.55303e-06, 0.979985
1.55275e-06, 0.975016
1.55247e-06, 0.973224
1.5522e-06, 0.978813
1.55192e-06, 0.982025
1.55165e-06, 0.988182
1.55137e-06, 0.990552
1.55109e-06, 0.991758
1.55082e-06, 0.995569
1.55054e-06, 0.992688
1.55027e-06, 0.997063
1.54999e-06, 0.992858
1.54972e-06, 0.991599
1.54944e-06, 0.984005
1.54917e-06, 0.959546
1.54889e-06, 0.956841
1.54862e-06, 0.967648
1.54834e-06, 0.981778
1.54807e-06, 0.981779
1.54779e-06, 0.989762
1.54752e-06, 0.987017
1.54724e-06, 0.990224
1.54697e-06, 0.9895
1.5467e-06, 0.987567
1.54642e-06, 0.987931
1.54615e-06, 0.981941
1.54587e-06, 0.979416
1.5456e-06, 0.973683
1.54533e-06, 0.973561
1.54505e-06, 0.979477
1.54478e-06, 0.982722
1.54451e-06, 0.989081
1.54423e-06, 0.990347
1.54396e-06, 0.992425
1.54369e-06, 0.995215
1.54341e-06, 0.992758
1.54314e-06, 0.997406
1.54287e-06, 0.99217
1.5426e-06, 0.993542
1.54232e-06, 0.984247
1.54205e-06, 0.965893
1.54178e-06, 0.95674
1.54151e-06, 0.970159
1.54123e-06, 0.981402
1.54096e-06, 0.982928
1.54069e-06, 0.990275
1.54042e-06, 0.987093
1.54015e-06, 0.99116
1.53987e-06, 0.989113
1.5396e-06, 0.988142
1.53933e-06, 0.987439
1.53906e-06, 0.981282
1.53879e-06, 0.978501
1.53852e-06, 0.972495
1.53825e-06, 0.97429
1.53798e-06, 0.980259
1.5377e-06, 0.983635
1.53743e-06, 0.989873
1.53716e-06, 0.990212
1.53689e-06, 0.99314
1.53662e-06, 0.994715
1.53635e-06, 0.993074
1.53608e-06, 0.997436
1.53581e-06, 0.991722
1.53554e-06, 0.995132
1.53527e-06, 0.98419
1.535e-06, 0.971814


