

lambda(m), Y
1.54202e-06, 0.960083
1.54192e-06, 0.961371
1.54182e-06, 0.963351
1.54172e-06, 0.964546
1.54162e-06, 0.964862
1.54152e-06, 0.965621
1.54142e-06, 0.966757
1.54132e-06, 0.967136
1.54123e-06, 0.966936
1.54113e-06, 0.967047
1.54103e-06, 0.967022
1.54093e-06, 0.965804
1.54083e-06, 0.96337
1.54073e-06, 0.959654
1.54063e-06, 0.952602
1.54053e-06, 0.937896
1.54043e-06, 0.906934
1.54033e-06, 0.837407
1.54023e-06, 0.689082
1.54013e-06, 0.557423
1.54004e-06, 0.656978
1.53994e-06, 0.780637
1.53984e-06, 0.849413
1.53974e-06, 0.886579
1.53964e-06, 0.908795
1.53954e-06, 0.923006
1.53944e-06, 0.932242
1.53934e-06, 0.938895
1.53924e-06, 0.944387
1.53914e-06, 0.948597
1.53905e-06, 0.951495
1.53895e-06, 0.954103
1.53885e-06, 0.956866
1.53875e-06, 0.958979
1.53865e-06, 0.960341
1.53855e-06, 0.96207
1.53845e-06, 0.964252
1.53835e-06, 0.96571
1.53825e-06, 0.966651
1.53816e-06, 0.968593
1.53806e-06, 0.971178
1.53796e-06, 0.972678
1.53786e-06, 0.974085
1.53776e-06, 0.978122
1.53766e-06, 0.983222
1.53756e-06, 0.981835
1.53746e-06, 0.943681
1.53737e-06, 0.901458
1.53727e-06, 0.926879
1.53717e-06, 0.943241
1.53707e-06, 0.950901
1.53697e-06, 0.954095
1.53687e-06, 0.9572
1.53677e-06, 0.960325
1.53667e-06, 0.961812
1.53658e-06, 0.96252
1.53648e-06, 0.963991
1.53638e-06, 0.965458
1.53628e-06, 0.965878
1.53618e-06, 0.96617
1.53608e-06, 0.967085
1.53598e-06, 0.967615
1.53589e-06, 0.967217
1.53579e-06, 0.96678
1.53569e-06, 0.966313
1.53559e-06, 0.964423
1.53549e-06, 0.960426
1.53539e-06, 0.953789
1.5353e-06, 0.940762
1.5352e-06, 0.91196
1.5351e-06, 0.845755
1.535e-06, 0.698947


