

lambda(m), Y
1.7e-06, 0.796941
1.69878e-06, 0.811094
1.69757e-06, 0.940006
1.69635e-06, 0.975029
1.69514e-06, 0.987644
1.69393e-06, 0.99359
1.69272e-06, 0.71768
1.69151e-06, 0.793298
1.69031e-06, 0.814555
1.68911e-06, 0.942864
1.6879e-06, 0.97582
1.6867e-06, 0.98768
1.6855e-06, 0.993558
1.68431e-06, 0.721628
1.68311e-06, 0.788055
1.68192e-06, 0.820413
1.68073e-06, 0.94581
1.67954e-06, 0.976459
1.67835e-06, 0.987764
1.67716e-06, 0.993625
1.67598e-06, 0.723955
1.67479e-06, 0.781159
1.67361e-06, 0.82858
1.67243e-06, 0.948643
1.67125e-06, 0.977143
1.67008e-06, 0.987873
1.6689e-06, 0.993546
1.66773e-06, 0.724445
1.66656e-06, 0.772436
1.66539e-06, 0.838617
1.66422e-06, 0.951494
1.66305e-06, 0.977786
1.66189e-06, 0.987881
1.66072e-06, 0.993597
1.65956e-06, 0.722978
1.6584e-06, 0.761761
1.65724e-06, 0.850086
1.65609e-06, 0.954216
1.65493e-06, 0.978337
1.65378e-06, 0.988017
1.65262e-06, 0.993658
1.65147e-06, 0.719357
1.65032e-06, 0.749652
1.64918e-06, 0.862258
1.64803e-06, 0.95679
1.64689e-06, 0.978963
1.64574e-06, 0.988115
1.6446e-06, 0.993682
1.64346e-06, 0.713451
1.64233e-06, 0.736701
1.64119e-06, 0.87449
1.64006e-06, 0.959321
1.63892e-06, 0.979482
1.63779e-06, 0.988234
1.63666e-06, 0.993901
1.63553e-06, 0.705101
1.63441e-06, 0.724442
1.63328e-06, 0.88637
1.63216e-06, 0.961656
1.63103e-06, 0.979979
1.62991e-06, 0.98851
1.62879e-06, 0.994058
1.62768e-06, 0.694412
1.62656e-06, 0.715325
1.62545e-06, 0.897428
1.62433e-06, 0.96389
1.62322e-06, 0.980482
1.62211e-06, 0.98876
1.621e-06, 0.994272
1.6199e-06, 0.681893
1.61879e-06, 0.71184
1.61769e-06, 0.907572
