

lambda(m), Y
1.7e-06, 0.957985
1.69878e-06, 0.952169
1.69757e-06, 0.970004
1.69635e-06, 0.91162
1.69514e-06, 0.953747
1.69393e-06, 0.990679
1.69272e-06, 0.937865
1.69151e-06, 0.96906
1.69031e-06, 0.950624
1.68911e-06, 0.92132
1.6879e-06, 0.988407
1.6867e-06, 0.90555
1.6855e-06, 0.966686
1.68431e-06, 0.964457
1.68311e-06, 0.840612
1.68192e-06, 0.982291
1.68073e-06, 0.8589
1.67954e-06, 0.962605
1.67835e-06, 0.969634
1.67716e-06, 0.667737
1.67598e-06, 0.975021
1.67479e-06, 0.970302
1.67361e-06, 0.955714
1.67243e-06, 0.971117
1.67125e-06, 0.778513
1.67008e-06, 0.965831
1.6689e-06, 0.991327
1.66773e-06, 0.942734
1.66656e-06, 0.9706
1.66539e-06, 0.912538
1.66422e-06, 0.952312
1.66305e-06, 0.988161
1.66189e-06, 0.912678
1.66072e-06, 0.968632
1.65956e-06, 0.952677
1.6584e-06, 0.928218
1.65724e-06, 0.983114
1.65609e-06, 0.874915
1.65493e-06, 0.965073
1.65378e-06, 0.965834
1.65262e-06, 0.87433
1.65147e-06, 0.977917
1.65032e-06, 0.978382
1.64918e-06, 0.958967
1.64803e-06, 0.970292
1.64689e-06, 0.733213
1.64574e-06, 0.972328
1.6446e-06, 0.991438
1.64346e-06, 0.947211
1.64233e-06, 0.971176
1.64119e-06, 0.672997
1.64006e-06, 0.96559
1.63892e-06, 0.988044
1.63779e-06, 0.918976
1.63666e-06, 0.970068
1.63553e-06, 0.870704
1.63441e-06, 0.956441
1.63328e-06, 0.983855
1.63216e-06, 0.889665
1.63103e-06, 0.967264
1.62991e-06, 0.940476
1.62879e-06, 0.942054
1.62768e-06, 0.97997
1.62656e-06, 0.983583
1.62545e-06, 0.962021
1.62433e-06, 0.961254
1.62322e-06, 0.915339
1.62211e-06, 0.976172
1.621e-06, 0.991333
1.6199e-06, 0.951484
1.61879e-06, 0.967996
1.61769e-06, 0.854382
1.61658e-06, 0.972197
1.61548e-06, 0.98803
1.61438e-06, 0.924883
1.61328e-06, 0.969566
1.61219e-06, 0.709402
1.61109e-06, 0.967628
1.61e-06, 0.984542
1.60891e-06, 0.903612
1.60782e-06, 0.968275
1.60673e-06, 0.707413
1.60564e-06, 0.961887
1.60455e-06, 0.981463
1.60347e-06, 0.98689
1.60239e-06, 0.964235
1.60131e-06, 0.880127
1.60022e-06, 0.953863
1.59915e-06, 0.978628
1.59807e-06, 0.991083
1.59699e-06, 0.955054
1.59592e-06, 0.93984
1.59485e-06, 0.94121
1.59377e-06, 0.975903
1.5927e-06, 0.988013
1.59163e-06, 0.930086
1.59057e-06, 0.958248
1.5895e-06, 0.918476
1.58844e-06, 0.973102
1.58737e-06, 0.985041
1.58631e-06, 0.915303
1.58525e-06, 0.963584
1.58419e-06, 0.870606
1.58314e-06, 0.970007
1.58208e-06, 0.982466
1.58103e-06, 0.988805
1.57997e-06, 0.96282
1.57892e-06, 0.763487
1.57787e-06, 0.966299
1.57682e-06, 0.98016
1.57578e-06, 0.990656
1.57473e-06, 0.955886
1.57368e-06, 0.693476
1.57264e-06, 0.961463
1.5716e-06, 0.978045
