

lambda(m), Y
1.57056e-06, 0.987862
1.56952e-06, 0.932525
1.56848e-06, 0.837399
1.56744e-06, 0.954698
1.56641e-06, 0.976025
1.56538e-06, 0.985295
1.56434e-06, 0.918587
1.56331e-06, 0.916075
1.56228e-06, 0.944428
1.56125e-06, 0.973952
1.56023e-06, 0.983067
1.5592e-06, 0.98937
1.55818e-06, 0.940957
1.55716e-06, 0.927129
1.55613e-06, 0.971663
1.55511e-06, 0.981073
1.55409e-06, 0.989951
1.55308e-06, 0.944104
1.55206e-06, 0.89441
1.55105e-06, 0.968963
1.55003e-06, 0.979249
1.54902e-06, 0.987591
1.54801e-06, 0.923551
1.547e-06, 0.828398
1.54599e-06, 0.965612
1.54498e-06, 0.977533
1.54398e-06, 0.985625
1.54297e-06, 0.880274
1.54197e-06, 0.741081
1.54097e-06, 0.961251
1.53997e-06, 0.975832
1.53897e-06, 0.984001
1.53797e-06, 0.9863
1.53698e-06, 0.782897
1.53598e-06, 0.955188
1.53499e-06, 0.97405
1.53399e-06, 0.982571
1.533e-06, 0.986784
1.53201e-06, 0.865055
1.53102e-06, 0.945918
1.53004e-06, 0.972183
1.52905e-06, 0.981098
1.52807e-06, 0.984862
1.52708e-06, 0.884504
1.5261e-06, 0.930023
1.52512e-06, 0.970538
1.52414e-06, 0.978997
1.52316e-06, 0.984798
1.52218e-06, 0.750034
1.52121e-06, 0.901339
1.52023e-06, 0.969185
1.51926e-06, 0.97626
1.51828e-06, 0.9855
1.51731e-06, 0.960559
1.51634e-06, 0.855758
1.51537e-06, 0.964959
1.51441e-06, 0.97614
1.51344e-06, 0.98159
1.51248e-06, 0.989792
1.51151e-06, 0.82194
1.51055e-06, 0.957661
1.50959e-06, 0.976547
1.50863e-06, 0.97906
1.50767e-06, 0.988613
1.50671e-06, 0.885486
1.50576e-06, 0.952996
1.5048e-06, 0.972893
1.50385e-06, 0.980191
1.50289e-06, 0.983473
1.50194e-06, 0.940388
1.50099e-06, 0.940719
1.50004e-06, 0.971721
1.49909e-06, 0.97836
1.49815e-06, 0.983534
1.4972e-06, 0.967007
1.49626e-06, 0.920378
1.49531e-06, 0.96913
1.49437e-06, 0.977596
1.49343e-06, 0.982285
1.49249e-06, 0.983756
1.49155e-06, 0.890697
1.49062e-06, 0.965895
1.48968e-06, 0.976618
1.48874e-06, 0.981331
1.48781e-06, 0.981371
1.48688e-06, 0.918963
1.48595e-06, 0.961485
1.48502e-06, 0.97536
1.48409e-06, 0.980586
1.48316e-06, 0.982165
1.48223e-06, 0.976466
1.48131e-06, 0.954189
1.48038e-06, 0.973998
1.47946e-06, 0.97992
1.47854e-06, 0.982141
1.47762e-06, 0.989586
1.4767e-06, 0.941245
1.47578e-06, 0.97244
1.47486e-06, 0.979033
1.47394e-06, 0.982292
1.47303e-06, 0.987975
1.47211e-06, 0.920745
1.4712e-06, 0.970177
1.47029e-06, 0.978192
1.46938e-06, 0.982289
1.46847e-06, 0.977313
1.46756e-06, 0.942482
1.46665e-06, 0.966827
1.46575e-06, 0.977406
1.46484e-06, 0.981962
1.46394e-06, 0.932651
1.46303e-06, 0.985986
1.46213e-06, 0.961565
1.46123e-06, 0.976505
1.46033e-06, 0.981473
1.45943e-06, 0.889594
1.45854e-06, 0.990759
1.45764e-06, 0.952176
1.45675e-06, 0.975319
1.45585e-06, 0.980956
1.45496e-06, 0.955275
1.45407e-06, 0.988173
1.45318e-06, 0.936689
1.45229e-06, 0.97368
1.4514e-06, 0.980447
1.45051e-06, 0.973646
1.44962e-06, 0.984504
1.44874e-06, 0.958455
1.44785e-06, 0.97126
1.44697e-06, 0.979902
1.44609e-06, 0.979257
1.44521e-06, 0.980017
1.44433e-06, 0.989976
1.44345e-06, 0.967318
1.44257e-06, 0.979262
1.44169e-06, 0.981361
1.44082e-06, 0.973485
1.43994e-06, 0.99122
1.43907e-06, 0.959997
1.4382e-06, 0.978425
1.43733e-06, 0.982193
1.43646e-06, 0.961514
1.43559e-06, 0.988763
1.43472e-06, 0.947846
1.43385e-06, 0.977257
1.43298e-06, 0.982462
1.43212e-06, 0.933637
1.43126e-06, 0.986319
1.43039e-06, 0.97014
1.42953e-06, 0.975484
1.42867e-06, 0.982425
1.42781e-06, 0.869713
1.42695e-06, 0.984077
1.42609e-06, 0.991849
1.42524e-06, 0.972475
1.42438e-06, 0.982163
1.42352e-06, 0.880567
1.42267e-06, 0.981827
1.42182e-06, 0.991607
1.42097e-06, 0.966687
1.42012e-06, 0.981678
1.41927e-06, 0.946225
1.41842e-06, 0.979276
1.41757e-06, 0.989582
1.41672e-06, 0.957162
1.41588e-06, 0.98089
1.41503e-06, 0.969762
1.41419e-06, 0.975998
1.41335e-06, 0.987834
1.4125e-06, 0.978745
1.41166e-06, 0.979596
1.41082e-06, 0.978049
1.40999e-06, 0.971239
1.40915e-06, 0.986372
1.40831e-06, 0.992677
1.40748e-06, 0.977301
1.40664e-06, 0.981404
1.40581e-06, 0.963441
1.40498e-06, 0.98505
1.40414e-06, 0.991814
1.40331e-06, 0.972721
1.40248e-06, 0.982778
1.40165e-06, 0.948982
1.40083e-06, 0.983741
1.4e-06, 0.990229


