

lambda(m), Y
1.565e-06, 0.995874
1.56472e-06, 0.993359
1.56444e-06, 0.993153
1.56416e-06, 0.997646
1.56388e-06, 0.983456
1.5636e-06, 0.959414
1.56332e-06, 0.957991
1.56304e-06, 0.965442
1.56276e-06, 0.982154
1.56248e-06, 0.985852
1.5622e-06, 0.985104
1.56192e-06, 0.98857
1.56164e-06, 0.989808
1.56136e-06, 0.987729
1.56108e-06, 0.986849
1.5608e-06, 0.985746
1.56052e-06, 0.981222
1.56024e-06, 0.974814
1.55997e-06, 0.970591
1.55969e-06, 0.970889
1.55941e-06, 0.974755
1.55913e-06, 0.980357
1.55885e-06, 0.986268
1.55857e-06, 0.989123
1.55829e-06, 0.989782
1.55802e-06, 0.993177
1.55774e-06, 0.995447
1.55746e-06, 0.992735
1.55718e-06, 0.99441
1.5569e-06, 0.997748
1.55663e-06, 0.983512
1.55635e-06, 0.967427
1.55607e-06, 0.957288
1.55579e-06, 0.966357
1.55552e-06, 0.983976
1.55524e-06, 0.985416
1.55496e-06, 0.985557
1.55469e-06, 0.989792
1.55441e-06, 0.989904
1.55413e-06, 0.987714
1.55386e-06, 0.987519
1.55358e-06, 0.985799
1.5533e-06, 0.980345
1.55303e-06, 0.973978
1.55275e-06, 0.970104
1.55247e-06, 0.970977
1.5522e-06, 0.975578
1.55192e-06, 0.981655
1.55165e-06, 0.987018
1.55137e-06, 0.989068
1.55109e-06, 0.990219
1.55082e-06, 0.993802
1.55054e-06, 0.994829
1.55027e-06, 0.992501
1.54999e-06, 0.995626
1.54972e-06, 0.997164
1.54944e-06, 0.9839
1.54917e-06, 0.974683
1.54889e-06, 0.956223
1.54862e-06, 0.968088
1.54834e-06, 0.985345
1.54807e-06, 0.984779
1.54779e-06, 0.986408
1.54752e-06, 0.990875
1.54724e-06, 0.989723
1.54697e-06, 0.987871
1.5467e-06, 0.988173
1.54642e-06, 0.985476
1.54615e-06, 0.979305
1.54587e-06, 0.973095
1.5456e-06, 0.969638
1.54533e-06, 0.971387
1.54505e-06, 0.976779
1.54478e-06, 0.983055
1.54451e-06, 0.987613
1.54423e-06, 0.989124
1.54396e-06, 0.990863
1.54369e-06, 0.994213
1.54341e-06, 0.994146
1.54314e-06, 0.992662
1.54287e-06, 0.996618
1.5426e-06, 0.9961
1.54232e-06, 0.984796
1.54205e-06, 0.980822
1.54178e-06, 0.955131
1.54151e-06, 0.970524
1.54123e-06, 0.986072
1.54096e-06, 0.984133
1.54069e-06, 0.987624
1.54042e-06, 0.99167
1.54015e-06, 0.98935
1.53987e-06, 0.988236
1.5396e-06, 0.988674
1.53933e-06, 0.984766
1.53906e-06, 0.978157
1.53879e-06, 0.972146
1.53852e-06, 0.969336
1.53825e-06, 0.972199
1.53798e-06, 0.978301
1.5377e-06, 0.984435
1.53743e-06, 0.988057
1.53716e-06, 0.989344
1.53689e-06, 0.99161
1.53662e-06, 0.994366
1.53635e-06, 0.993525
1.53608e-06, 0.993152
1.53581e-06, 0.997245
1.53554e-06, 0.994799
1.53527e-06, 0.98624
1.535e-06, 0.985596


