

lambda(m), Y
1.54202e-06, 0.951582
1.54192e-06, 0.948839
1.54182e-06, 0.949019
1.54172e-06, 0.949528
1.54162e-06, 0.948468
1.54152e-06, 0.946528
1.54142e-06, 0.945657
1.54132e-06, 0.946436
1.54123e-06, 0.947466
1.54113e-06, 0.947293
1.54103e-06, 0.946224
1.54093e-06, 0.945735
1.54083e-06, 0.946442
1.54073e-06, 0.947353
1.54063e-06, 0.94727
1.54053e-06, 0.946362
1.54043e-06, 0.945838
1.54033e-06, 0.946264
1.54023e-06, 0.946813
1.54013e-06, 0.946394
1.54004e-06, 0.945078
1.53994e-06, 0.943899
1.53984e-06, 0.943347
1.53974e-06, 0.942588
1.53964e-06, 0.940426
1.53954e-06, 0.936667
1.53944e-06, 0.932019
1.53934e-06, 0.926609
1.53924e-06, 0.919077
1.53914e-06, 0.907591
1.53905e-06, 0.891854
1.53895e-06, 0.874092
1.53885e-06, 0.858177
1.53875e-06, 0.847821
1.53865e-06, 0.845159
1.53855e-06, 0.850134
1.53845e-06, 0.860551
1.53835e-06, 0.872886
1.53825e-06, 0.883914
1.53816e-06, 0.892327
1.53806e-06, 0.89893
1.53796e-06, 0.905102
1.53786e-06, 0.911075
1.53776e-06, 0.915888
1.53766e-06, 0.918925
1.53756e-06, 0.92099
1.53746e-06, 0.923464
1.53737e-06, 0.926612
1.53727e-06, 0.929302
1.53717e-06, 0.930583
1.53707e-06, 0.931092
1.53697e-06, 0.932338
1.53687e-06, 0.934735
1.53677e-06, 0.936988
1.53667e-06, 0.937793
1.53658e-06, 0.937698
1.53648e-06, 0.938583
1.53638e-06, 0.941257
1.53628e-06, 0.944279
1.53618e-06, 0.945748
1.53608e-06, 0.945973
1.53598e-06, 0.947585
1.53589e-06, 0.952664
1.53579e-06, 0.960212
1.53569e-06, 0.967026
1.53559e-06, 0.970903
1.53549e-06, 0.97234
1.53539e-06, 0.972884
1.5353e-06, 0.972545
1.5352e-06, 0.969754
1.5351e-06, 0.963909
1.535e-06, 0.957109


