

lambda(m), Y
1.565e-06, 0.997142
1.56472e-06, 0.99807
1.56444e-06, 0.998351
1.56416e-06, 0.998541
1.56388e-06, 0.998997
1.5636e-06, 0.999626
1.56332e-06, 1.00001
1.56304e-06, 0.999735
1.56276e-06, 0.998425
1.56248e-06, 0.994743
1.5622e-06, 0.988653
1.56192e-06, 0.991637
1.56164e-06, 0.995607
1.56136e-06, 0.997371
1.56108e-06, 0.998105
1.5608e-06, 0.998607
1.56052e-06, 0.999206
1.56024e-06, 0.999784
1.55997e-06, 1.00004
1.55969e-06, 0.999829
1.55941e-06, 0.999315
1.55913e-06, 0.998581
1.55885e-06, 0.99703
1.55857e-06, 0.993754
1.55829e-06, 0.991852
1.55802e-06, 0.993371
1.55774e-06, 0.995045
1.55746e-06, 0.996324
1.55718e-06, 0.997517
1.5569e-06, 0.99851
1.55663e-06, 0.999002
1.55635e-06, 0.998965
1.55607e-06, 0.998774
1.55579e-06, 0.998883
1.55552e-06, 0.999391
1.55524e-06, 0.999901
1.55496e-06, 0.999729
1.55469e-06, 0.997841
1.55441e-06, 0.992903
1.55413e-06, 0.99332
1.55386e-06, 0.996615
1.55358e-06, 0.998327
1.5533e-06, 0.999069
1.55303e-06, 0.999245
1.55275e-06, 0.999258
1.55247e-06, 0.999374
1.5522e-06, 0.999423
1.55192e-06, 0.998739
1.55165e-06, 0.99629
1.55137e-06, 0.991632
1.55109e-06, 0.988909
1.55082e-06, 0.991091
1.55054e-06, 0.99411
1.55027e-06, 0.996135
1.54999e-06, 0.997062
1.54972e-06, 0.997311
1.54944e-06, 0.99752
1.54917e-06, 0.9981
1.54889e-06, 0.998926
1.54862e-06, 0.999499
1.54834e-06, 0.999466
1.54807e-06, 0.999001
1.54779e-06, 0.998663
1.54752e-06, 0.998862
1.54724e-06, 0.999406
1.54697e-06, 0.999379
1.5467e-06, 0.996995
1.54642e-06, 0.995803
1.54615e-06, 0.997893
1.54587e-06, 0.998839
1.5456e-06, 0.999255
1.54533e-06, 0.999182
1.54505e-06, 0.99842
1.54478e-06, 0.996783
1.54451e-06, 0.993799
1.54423e-06, 0.989191
1.54396e-06, 0.986656
1.54369e-06, 0.989009
1.54341e-06, 0.991971
1.54314e-06, 0.993888
1.54287e-06, 0.995369
1.5426e-06, 0.996819
1.54232e-06, 0.998
1.54205e-06, 0.998496
1.54178e-06, 0.998303
1.54151e-06, 0.997971
1.54123e-06, 0.998144
1.54096e-06, 0.998948
1.54069e-06, 0.999832
1.54042e-06, 1.00006
1.54015e-06, 0.99941
1.53987e-06, 0.998364
1.5396e-06, 0.997675
1.53933e-06, 0.997461
1.53906e-06, 0.995826
1.53879e-06, 0.992312
1.53852e-06, 0.995741
1.53825e-06, 0.997043
1.53798e-06, 0.996524
1.5377e-06, 0.994515
1.53743e-06, 0.990363
1.53716e-06, 0.984191
1.53689e-06, 0.980615
1.53662e-06, 0.983441
1.53635e-06, 0.988463
1.53608e-06, 0.992482
1.53581e-06, 0.994878
1.53554e-06, 0.995847
1.53527e-06, 0.996117
1.535e-06, 0.996593


